No,Movie_Name,Year_Started,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
290,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,ElodieKeene,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","Agent Daisy Johnson must call upon the Secret Warriors for an inaugural mission that will leave no member unscathed, and S.H.I.E.L.D. learns more about Hive's powers, forcing them to question everyone they trust.",9,NA,2503,NA,Marvel
291,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,GarryA.Brown,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet",The S.H.I.E.L.D. team is left reeling and decimated as Hive continues to sway Inhumans to his side. But there is a sliver of hope as Agents Fitz and Simmons follow a lead that may be able to stop the maniacal Inhuman once and for all.,8.3,NA,2152,NA,Marvel
292,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",41,TV-PG,WendeyStanzler,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","As the threat of Hive looms, loyalties are put to the test and the team must come up with a decisive resolution.",8.2,NA,2082,NA,Marvel
293,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,VincentMisiano,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","In the aftermath of the events of Captain America: Civil War (2016), S.H.I.E.L.D feels pressure to reveal their involvement with Inhumans. But with the stakes higher than ever and Hive ...                See full summary <U+00BB>",8.6,NA,2164,NA,Marvel
294,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,BillyGierhart,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","It's a showdown a season in the making as S.H.I.E.L.D. takes on Hive, and when his master plan is finally revealed, the team must spring into action.",8.6,NA,2229,NA,Marvel
295,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,KevinTancharoen,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","In the conclusion to ""Absolution,"" S.H.I.E.L.D. must spring into action to combat Hive.",9.1,NA,2681,NA,Marvel
296,Jessica Jones,2015,"Action,Crime,Drama",54,TV-MA,AnnaFoerster,"KrystenRitter,RachaelTaylor,EkaDarville,J.R.Ramirez","While Jessica deals with a rival PI and a paranoid would-be client, Trish digs up a medical file that could unlock the mystery of Jessica's powers.",7.6,NA,2930,NA,Marvel
297,Jessica Jones,2015,"Action,Crime,Drama",56,TV-MA,MinkieSpiro,"KrystenRitter,RachaelTaylor,EkaDarville,J.R.Ramirez",Jessica sets out to find Dr. Kozlov and makes a startling discovery. Trish recruits Malcolm for backup as she visits a figure from her past.,7.5,NA,2629,NA,Marvel
298,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,BillyGierhart,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Daisy has left S.H.I.E.L.D. and is trying to solve the mystery of a bunch of serial killings in the Los Angeles area. At the same time her old friends suspect her for the killings and are following her trail in an attempt to find her.,8.4,NA,2752,NA,Marvel
299,The Punisher,2017,"Action,Crime,Drama",51,TV-MA,TomShankland,"JonBernthal,EbonMoss-Bachrach,AmberRoseRevah,DanielWebber",Former Marine Frank Castle takes the law into his own hands while struggling to come to terms with his traumatic past.,8.6,NA,7334,NA,Marvel
